ts,open,high,low,close,volume,Trading_Day,Session
2026-04-08 22:49:00,35042.0,35082.0,35038.0,35078.0,292,2026-04-09,2
2026-04-08 22:50:00,35080.0,35090.0,35067.0,35087.0,153,2026-04-09,2
2026-04-08 22:51:00,35088.0,35102.0,35080.0,35087.0,274,2026-04-09,2
2026-04-08 22:52:00,35086.0,35095.0,35058.0,35062.0,170,2026-04-09,2
2026-04-08 22:53:00,35062.0,35062.0,35034.0,35042.0,199,2026-04-09,2
2026-04-08 22:54:00,35043.0,35043.0,35010.0,35041.0,212,2026-04-09,2
2026-04-08 22:55:00,35038.0,35072.0,35033.0,35059.0,182,2026-04-09,2
2026-04-08 22:56:00,35054.0,35054.0,34996.0,34998.0,328,2026-04-09,2
2026-04-08 22:57:00,35000.0,35012.0,34952.0,34954.0,744,2026-04-09,2
2026-04-08 22:58:00,34956.0,35014.0,34951.0,35013.0,442,2026-04-09,2
2026-04-08 22:59:00,35012.0,35033.0,35011.0,35031.0,237,2026-04-09,2
2026-04-08 23:00:00,35033.0,35043.0,35032.0,35038.0,149,2026-04-09,2
2026-04-08 23:01:00,35040.0,35057.0,35034.0,35044.0,273,2026-04-09,2
2026-04-08 23:02:00,35044.0,35070.0,35042.0,35056.0,118,2026-04-09,2
2026-04-08 23:03:00,35063.0,35079.0,35054.0,35073.0,142,2026-04-09,2
2026-04-08 23:04:00,35071.0,35102.0,35065.0,35093.0,193,2026-04-09,2
2026-04-08 23:05:00,35089.0,35093.0,35068.0,35083.0,108,2026-04-09,2
2026-04-08 23:06:00,35083.0,35088.0,35072.0,35076.0,53,2026-04-09,2
2026-04-08 23:07:00,35076.0,35089.0,35071.0,35086.0,48,2026-04-09,2
2026-04-08 23:08:00,35081.0,35096.0,35068.0,35074.0,144,2026-04-09,2
2026-04-08 23:09:00,35076.0,35076.0,35057.0,35068.0,63,2026-04-09,2
2026-04-08 23:10:00,35063.0,35064.0,35038.0,35046.0,133,2026-04-09,2
2026-04-08 23:11:00,35048.0,35048.0,35027.0,35045.0,167,2026-04-09,2
2026-04-08 23:12:00,35043.0,35072.0,35042.0,35060.0,84,2026-04-09,2
2026-04-08 23:13:00,35062.0,35087.0,35057.0,35082.0,172,2026-04-09,2
2026-04-08 23:14:00,35081.0,35110.0,35075.0,35085.0,203,2026-04-09,2
2026-04-08 23:15:00,35085.0,35089.0,35056.0,35088.0,61,2026-04-09,2
2026-04-08 23:16:00,35084.0,35094.0,35075.0,35092.0,57,2026-04-09,2
2026-04-08 23:17:00,35088.0,35101.0,35078.0,35100.0,93,2026-04-09,2
2026-04-08 23:18:00,35100.0,35100.0,35072.0,35081.0,162,2026-04-09,2
2026-04-08 23:19:00,35082.0,35085.0,35068.0,35078.0,71,2026-04-09,2
2026-04-08 23:20:00,35081.0,35099.0,35076.0,35099.0,59,2026-04-09,2
