timestamp,Open,High,Low,Close,Volume,Dividends,Stock Splits,Amount,Date
,73.5,73.6,73.5,73.5,520,,,38228800.0,2026-04-23 12:10:00
,73.5,73.6,73.5,73.6,84,,,6177500.0,2026-04-23 12:11:00
,73.6,73.6,73.4,73.5,254,,,18668600.0,2026-04-23 12:12:00
,73.4,73.5,73.4,73.4,42,,,3084400.0,2026-04-23 12:13:00
,73.5,73.5,73.4,73.5,119,,,8738000.0,2026-04-23 12:14:00
,73.4,73.5,73.4,73.4,84,,,6169800.0,2026-04-23 12:15:00
,73.5,73.5,73.4,73.4,194,,,14244600.0,2026-04-23 12:16:00
,73.4,73.4,73.3,73.3,310,,,22748300.0,2026-04-23 12:17:00
,73.4,73.4,73.3,73.3,199,,,14588600.0,2026-04-23 12:18:00
,73.3,73.4,73.3,73.3,187,,,13709600.0,2026-04-23 12:19:00
,73.4,73.5,73.3,73.5,185,,,13577700.0,2026-04-23 12:20:00
,73.4,73.5,73.4,73.4,64,,,4699100.0,2026-04-23 12:21:00
,73.4,73.5,73.4,73.4,83,,,6093600.0,2026-04-23 12:22:00
,73.4,73.5,73.3,73.4,407,,,29872700.0,2026-04-23 12:23:00
,73.4,73.6,73.4,73.6,548,,,40285700.0,2026-04-23 12:24:00
,73.5,73.6,73.4,73.4,365,,,26829700.0,2026-04-23 12:25:00
,73.5,73.6,73.4,73.4,261,,,19181800.0,2026-04-23 12:26:00
,73.5,73.9,73.4,73.9,1010,,,74359800.0,2026-04-23 12:27:00
,73.9,74.0,73.8,73.9,306,,,22623000.0,2026-04-23 12:28:00
,73.9,74.0,73.9,74.0,312,,,23069500.0,2026-04-23 12:29:00
,73.9,74.0,73.9,74.0,172,,,12723600.0,2026-04-23 12:30:00
,73.9,74.0,73.9,74.0,224,,,16564000.0,2026-04-23 12:31:00
,73.9,73.9,73.6,73.7,783,,,57772400.0,2026-04-23 12:32:00
,73.6,73.7,73.4,73.5,512,,,37664300.0,2026-04-23 12:33:00
,73.5,73.7,73.4,73.6,479,,,35235400.0,2026-04-23 12:34:00
,73.6,73.8,73.6,73.8,199,,,14669100.0,2026-04-23 12:35:00
,73.8,73.9,73.8,73.9,107,,,7899000.0,2026-04-23 12:36:00
,73.8,73.9,73.8,73.8,249,,,18383400.0,2026-04-23 12:37:00
,73.8,74.0,73.8,74.0,404,,,29876300.0,2026-04-23 12:38:00
,73.9,74.0,73.9,74.0,223,,,16496600.0,2026-04-23 12:39:00
,73.9,74.0,73.8,73.8,399,,,29484200.0,2026-04-23 12:40:00
,73.8,73.9,73.7,73.7,261,,,19253800.0,2026-04-23 12:41:00
,73.7,73.8,73.6,73.7,281,,,20705500.0,2026-04-23 12:42:00
,73.6,73.8,73.6,73.7,167,,,12308100.0,2026-04-23 12:43:00
,73.7,73.9,73.7,73.9,164,,,12103600.0,2026-04-23 12:44:00
,73.8,73.9,73.8,73.9,119,,,8788500.0,2026-04-23 12:45:00
,73.9,73.9,73.8,73.9,164,,,12110100.0,2026-04-23 12:46:00
,73.8,73.9,73.8,73.8,140,,,10335500.0,2026-04-23 12:47:00
,73.9,74.0,73.8,73.9,468,,,34578700.0,2026-04-23 12:48:00
,73.8,73.9,73.8,73.9,344,,,25408300.0,2026-04-23 12:49:00
,73.9,74.0,73.9,74.0,136,,,10056200.0,2026-04-23 12:50:00
,73.9,74.0,73.6,73.7,846,,,62435200.0,2026-04-23 12:51:00
,73.7,73.7,73.6,73.7,131,,,9646500.0,2026-04-23 12:52:00
,73.7,73.7,73.6,73.6,97,,,7143500.0,2026-04-23 12:53:00
,73.6,73.7,73.6,73.7,241,,,17740100.0,2026-04-23 12:54:00
,73.6,73.7,73.5,73.6,527,,,38769000.0,2026-04-23 12:55:00
,73.6,73.6,73.5,73.5,213,,,15668500.0,2026-04-23 12:56:00
,73.5,73.7,73.5,73.6,310,,,22817500.0,2026-04-23 12:57:00
,73.6,73.9,73.6,73.8,390,,,28768100.0,2026-04-23 12:58:00
,73.7,73.9,73.7,73.8,184,,,13581100.0,2026-04-23 12:59:00
,73.9,73.9,73.8,73.9,199,,,14698600.0,2026-04-23 13:00:00
,73.8,74.0,73.8,73.9,452,,,33399800.0,2026-04-23 13:01:00
,73.9,74.0,73.9,73.9,242,,,17893300.0,2026-04-23 13:02:00
,73.9,74.0,73.9,74.0,245,,,18117300.0,2026-04-23 13:03:00
,73.9,74.0,73.9,74.0,206,,,15238600.0,2026-04-23 13:04:00
,73.9,74.0,73.9,74.0,332,,,24559800.0,2026-04-23 13:05:00
,74.0,74.0,73.9,73.9,249,,,18421200.0,2026-04-23 13:06:00
,74.0,74.0,73.8,73.9,957,,,70731400.0,2026-04-23 13:07:00
,73.8,73.9,73.8,73.8,358,,,26435900.0,2026-04-23 13:08:00
,73.8,73.9,73.7,73.7,810,,,59742700.0,2026-04-23 13:09:00
,73.7,73.8,73.6,73.7,229,,,16877700.0,2026-04-23 13:10:00
,73.7,73.8,73.6,73.8,309,,,22778000.0,2026-04-23 13:11:00
,73.7,73.8,73.6,73.7,250,,,18430300.0,2026-04-23 13:12:00
,73.7,73.7,73.6,73.6,295,,,21724700.0,2026-04-23 13:13:00
,73.6,73.7,73.6,73.7,344,,,25334200.0,2026-04-23 13:14:00
,73.6,73.7,73.6,73.7,379,,,27912200.0,2026-04-23 13:15:00
,73.7,73.7,73.5,73.5,467,,,34348100.0,2026-04-23 13:16:00
,73.6,73.6,73.4,73.4,538,,,39547800.0,2026-04-23 13:17:00
,73.5,73.5,73.3,73.3,828,,,60749900.0,2026-04-23 13:18:00
,73.3,73.4,73.2,73.4,830,,,60823100.0,2026-04-23 13:19:00
,73.3,73.4,73.2,73.2,529,,,38759700.0,2026-04-23 13:20:00
,73.2,73.3,73.1,73.1,543,,,39734300.0,2026-04-23 13:21:00
,73.1,73.2,73.0,73.0,842,,,61551700.0,2026-04-23 13:22:00
,73.1,73.3,73.0,73.3,1711,,,125086800.0,2026-04-23 13:23:00
,73.1,73.3,73.1,73.2,434,,,31749300.0,2026-04-23 13:24:00
,73.2,73.2,73.1,73.1,843,,,61644600.0,2026-04-23 13:25:00
,73.6,73.6,73.6,73.6,11888,,,874956800.0,2026-04-23 13:30:00
,77.0,77.5,76.7,77.0,10231,,,788244100.0,2026-04-24 09:01:00
,76.9,77.3,76.9,76.9,3438,,,264913600.0,2026-04-24 09:02:00
,77.0,77.2,76.7,77.1,2608,,,200748100.0,2026-04-24 09:03:00
,77.2,77.8,77.1,77.7,4398,,,340518700.0,2026-04-24 09:04:00
,77.7,78.2,77.6,77.8,4221,,,328936800.0,2026-04-24 09:05:00
,78.0,78.0,77.5,77.9,2865,,,222748000.0,2026-04-24 09:06:00
,77.8,78.1,77.8,77.9,2914,,,227223000.0,2026-04-24 09:07:00
,77.9,78.2,77.6,77.6,3534,,,275535800.0,2026-04-24 09:08:00
,77.7,77.9,77.6,77.9,1077,,,83741300.0,2026-04-24 09:09:00
,77.9,78.3,77.6,78.0,4803,,,374727500.0,2026-04-24 09:10:00
,78.0,78.0,77.3,77.7,1542,,,119517700.0,2026-04-24 09:11:00
,77.6,77.8,77.4,77.4,1116,,,86632700.0,2026-04-24 09:12:00
,77.5,77.5,77.1,77.2,944,,,72966900.0,2026-04-24 09:13:00
,77.2,77.3,77.1,77.1,1134,,,87503900.0,2026-04-24 09:14:00
,77.2,77.5,77.1,77.4,1122,,,86635500.0,2026-04-24 09:15:00
,77.4,77.5,77.2,77.3,422,,,32638100.0,2026-04-24 09:16:00
,77.2,77.3,76.9,77.0,1349,,,103906600.0,2026-04-24 09:17:00
,77.0,77.2,77.0,77.1,687,,,52966000.0,2026-04-24 09:18:00
,77.1,77.2,76.5,76.6,1903,,,146086800.0,2026-04-24 09:19:00
