timestamp,Open,High,Low,Close,Volume,Amount,Date
,344.5,344.5,344.0,344.0,3,1032500.0,2026-04-30 12:22:00
,344.0,344.0,343.5,343.5,9,3093500.0,2026-04-30 12:23:00
,344.0,344.0,343.5,343.5,8,2749000.0,2026-04-30 12:24:00
,343.5,344.0,343.5,343.5,10,3438000.0,2026-04-30 12:25:00
,344.0,344.5,344.0,344.5,21,7232000.0,2026-04-30 12:26:00
,344.0,344.5,344.0,344.5,4,1377000.0,2026-04-30 12:27:00
,345.0,345.0,344.0,344.5,14,4827500.0,2026-04-30 12:28:00
,344.5,344.5,344.0,344.0,4,1377000.0,2026-04-30 12:29:00
,344.0,344.0,344.0,344.0,5,1720000.0,2026-04-30 12:30:00
,344.0,344.0,343.0,343.0,25,8587500.0,2026-04-30 12:31:00
,343.0,343.0,341.5,341.5,54,18478500.0,2026-04-30 12:32:00
,341.5,341.5,340.5,340.5,76,25895500.0,2026-04-30 12:33:00
,340.5,340.5,340.0,340.0,43,14629500.0,2026-04-30 12:34:00
,341.0,341.0,340.5,341.0,13,4432500.0,2026-04-30 12:35:00
,341.0,341.0,341.0,341.0,2,682000.0,2026-04-30 12:36:00
,341.0,341.5,341.0,341.5,19,6483500.0,2026-04-30 12:37:00
,342.0,343.0,342.0,343.0,14,4793500.0,2026-04-30 12:38:00
,342.5,342.5,340.0,342.0,42,14326000.0,2026-04-30 12:39:00
,342.0,342.0,341.5,341.5,14,4785000.0,2026-04-30 12:40:00
,341.5,341.5,341.0,341.0,7,2388500.0,2026-04-30 12:41:00
,340.5,341.0,340.5,340.5,8,2725000.0,2026-04-30 12:42:00
,340.0,340.5,339.5,340.0,21,7139500.0,2026-04-30 12:43:00
,340.0,341.0,340.0,341.0,34,11582000.0,2026-04-30 12:44:00
,341.5,342.0,341.0,342.0,24,8196500.0,2026-04-30 12:45:00
,342.0,342.5,342.0,342.0,3,1026500.0,2026-04-30 12:46:00
,342.5,343.0,342.5,342.5,19,6510500.0,2026-04-30 12:47:00
,342.5,343.0,342.5,343.0,16,5487000.0,2026-04-30 12:48:00
,343.0,343.0,343.0,343.0,4,1372000.0,2026-04-30 12:51:00
,343.0,343.5,343.0,343.0,13,4459500.0,2026-04-30 12:52:00
,343.0,343.0,343.0,343.0,4,1372000.0,2026-04-30 12:53:00
,343.0,343.0,342.5,343.0,24,8231500.0,2026-04-30 12:55:00
,343.0,343.0,343.0,343.0,1,343000.0,2026-04-30 12:56:00
,343.0,343.0,343.0,343.0,2,686000.0,2026-04-30 12:57:00
,342.5,343.5,342.5,343.5,16,5488000.0,2026-04-30 12:58:00
,343.5,344.0,343.5,344.0,21,7217500.0,2026-04-30 12:59:00
,343.5,343.5,343.5,343.5,11,3778500.0,2026-04-30 13:00:00
,343.5,344.0,343.5,344.0,10,3438000.0,2026-04-30 13:01:00
,344.0,344.5,343.5,344.5,8,2751000.0,2026-04-30 13:02:00
,344.5,345.0,344.5,345.0,21,7238000.0,2026-04-30 13:03:00
,345.0,345.0,344.0,344.0,13,4475500.0,2026-04-30 13:04:00
