entry_type,pnl_pts,pnl_cash,bars_held,mfe,mae
EARLY_BREAKOUT,-2.6999999999999997,-540.0,54,9.0,-9.0
EARLY_BREAKOUT,-1.2,-240.0,6,1.0,-6.0
CONFIRMED_BREAKOUT,10.0,2000.0,1,13.0,-8.0
EARLY_BREAKOUT,-1.5,-300.0,1,1.0,-9.0
CONFIRMED_BREAKOUT,-16.0,-3200.0,3,5.0,-16.0
EARLY_BREAKOUT,-2.4,-480.0,14,9.0,-10.0
EARLY_BREAKOUT,4.5,900.0,20,19.0,-6.0
CONFIRMED_BREAKOUT,-10.0,-2000.0,6,2.0,-12.0
CONFIRMED_BREAKOUT,-13.0,-2600.0,60,14.0,-13.0
EARLY_BREAKOUT,3.0,600.0,23,10.0,-5.0
EARLY_BREAKOUT,-1.2,-240.0,3,0.0,-5.0
CONFIRMED_BREAKOUT,26.0,5200.0,13,28.0,-11.0
EARLY_BREAKOUT,-3.5999999999999996,-719.9999999999999,1,3.0,-13.0
EARLY_BREAKOUT,-2.4,-480.0,7,3.0,-8.0
EARLY_BREAKOUT,-3.3,-660.0,20,11.0,-12.0
EARLY_BREAKOUT,-1.5,-300.0,2,0.0,-5.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,6,2.0,-6.0
CONFIRMED_BREAKOUT,11.0,2200.0,2,11.0,-8.0
CONFIRMED_BREAKOUT,25.0,5000.0,2,27.0,-8.0
CONFIRMED_BREAKOUT,-9.0,-1800.0,12,10.0,-10.0
CONFIRMED_BREAKOUT,16.0,3200.0,11,16.0,-10.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,1,7.0,-10.0
CONFIRMED_BREAKOUT,-15.0,-3000.0,43,24.0,-18.0
EARLY_BREAKOUT,-2.1,-420.0,8,7.0,-7.0
CONFIRMED_BREAKOUT,-11.0,-2200.0,3,2.0,-12.0
EARLY_BREAKOUT,-1.2,-240.0,5,4.0,-7.0
EARLY_BREAKOUT,-2.1,-420.0,12,2.0,-8.0
CONFIRMED_BREAKOUT,-11.0,-2200.0,3,3.0,-13.0
EARLY_BREAKOUT,4.8,960.0,22,16.0,-8.0
EARLY_BREAKOUT,2.1,420.0,18,7.0,-6.0
EARLY_BREAKOUT,5.1,1019.9999999999999,2,18.0,-10.0
EARLY_BREAKOUT,11.4,2280.0,18,39.0,-16.0
CONFIRMED_BREAKOUT,-15.0,-3000.0,3,3.0,-16.0
EARLY_BREAKOUT,6.0,1200.0,15,20.0,-6.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,1,2.0,-12.0
CONFIRMED_BREAKOUT,-10.0,-2000.0,26,15.0,-11.0
EARLY_BREAKOUT,4.5,900.0,11,15.0,-7.0
CONFIRMED_BREAKOUT,20.0,4000.0,13,21.0,-30.0
